Station_Name,F1,TFR,FFR,MFR,FRI,Count,lat,lon,height
AMPE,0.7611657834973504,0.8847338319401672,0.23668639053254437,0.11526616805983282,0.19421360418590336,6498,46.4147117,12.799037820000024,616.4476394
AMS5,0.7325383304940376,0.8796025715955581,0.1974353305328322,0.12039742840444184,0.17629130574270133,6234,48.122246802,14.870986481999978,346.7299393
ANG3,0.689376961004034,0.7807106598984772,0.13279510022271715,0.21928934010152284,0.15140922001310902,4577,40.930922135,15.183935345999998,921.2520722
AOU2,0.3888888888888889,1.0,0.26506024096385544,0.0,0.24444444444444444,90,44.710971502,5.057803547999981,263.2222783
APE2,0.7972027972027972,0.9083665338645418,0.19375,0.09163346613545817,0.15868673050615595,4386,52.211927249,5.96230231200002,115.8919127
APK1,0.0,0.0,0.0,0.0,1.0,58,39.040995048,38.49331043199999,1204.6791276
APT2,0.6604215456674474,0.826171875,0.14392678868552414,0.173828125,0.14917695473251028,2916,43.876292126,5.388248617999977,286.2504271
ARA1,0.6463527239150508,0.6616257088846881,0.0804416403785489,0.3383742911153119,0.12495921696574225,3065,46.494616645,15.508775413000023,1292.085716
ARC2,0.6939130434782609,0.8471337579617835,0.1845748187211602,0.15286624203821655,0.17706237424547283,1988,46.673172324,0.6533862599999907,186.9537425
ARCI,0.5864661654135338,0.9069767441860465,0.18613138686131386,0.09302325581395349,0.17350157728706625,634,48.333701282,0.8364375070000278,165.8652209
ARDA,0.6592920353982301,0.7061611374407583,0.18290258449304175,0.2938388625592417,0.21568627450980393,714,41.111261461,42.699063035999984,1834.092728
ARDL,0.6850828729281767,0.8051948051948052,0.18340611353711792,0.19480519480519481,0.18627450980392157,306,51.915784232,0.9618914089999748,91.5267823
ARIB,0.7342342342342343,0.8049382716049382,0.14909781576448244,0.19506172839506172,0.16186556927297668,1458,42.935057078,-1.262139534,1037.4265772
ARNA,0.7472150814053129,0.872,0.1861402095084609,0.128,0.1694428489373923,1741,47.94652209,0.1809004059999779,96.7856417
ARNH,0.7719601903937691,0.9301355578727841,0.2155576382380506,0.06986444212721585,0.17038473973488522,6186,51.952649038,5.873855108999976,76.4693244
ARQT,0.7221238938053097,0.8464730290456431,0.16348773841961853,0.15352697095435686,0.16102564102564101,3900,42.754965337,13.19872520299998,1659.9164303
ASAP,0.6822118587608261,0.8414133114215283,0.3482837528604119,0.15858668857847166,0.2804232804232804,3402,53.251347464,-3.480108111,103.3999768
AT02,0.0,0.0,0.0,0.0,1.0,49,43.396208508,12.489928469999995,676.5460853
ATAL,0.5753554502369668,0.7339782345828295,0.14331142675429298,0.2660217654171705,0.16161616161616163,5544,38.653058108,22.99935452699998,135.2799162
ATFO,0.6817752596789425,0.7106299212598425,0.12591119946984758,0.28937007874015747,0.1670798215171046,4034,43.370055821,12.567118225999993,1020.4445142
ATPU,0.669182389937107,0.7578347578347578,0.16435826408125578,0.24216524216524216,0.18340306834030684,1434,48.015764601,13.722994633999974,488.5346731
ATST,0.6759656652360515,0.6454918032786885,0.06677018633540373,0.35450819672131145,0.12479338842975207,2420,42.168277773,9.336053470000024,740.4225921
AUBO,0.6639231824417009,0.6157760814249363,0.15798319327731092,0.3842239185750636,0.2479757085020243,988,46.49457387,6.39379068400001,557.2212374
AUBT,0.5660377358490567,0.6818181818181818,0.1893491124260355,0.3181818181818182,0.215962441314554,426,43.650716264,0.7506268910000244,276.0712868
AUT1,0.4230769230769231,1.0,0.23622047244094488,0.0,0.21739130434782608,138,40.566818593,23.00371843699997,150.0845264
AVEL,0.6180851063829788,0.6128691983122363,0.06324324324324325,0.3871308016877637,0.11049553708833487,6498,41.881609362,0.7505346880000161,682.6409436
AXPV,0.5909537856440511,0.6662971175166297,0.09450080085424453,0.33370288248337027,0.12758779328323877,6521,43.491213889,5.333195261000014,229.3665779
BACA,0.6298299845440495,0.7897286821705426,0.13616317530319735,0.21027131782945738,0.14797652147049736,6474,46.562060808,26.912215307999983,219.1364119
BAES,0.6446776611694154,0.7789855072463768,0.09665019220208676,0.2210144927536232,0.11301859799713877,4194,44.029211,23.33109480899998,101.0345581
BAIA,0.6625355021946812,0.7959057071960298,0.2011517893870835,0.20409429280397023,0.2018844609206055,6474,47.651787603,23.55771612799998,270.8469415
BERH,0.658520027155465,0.890452876376989,0.3449170124481328,0.10954712362301101,0.2748633879781421,5490,60.398123596,5.319060911000008,53.8068022
BGDR,0.746031746031746,0.9038461538461539,0.20300751879699247,0.09615384615384616,0.17297297297297298,185,43.889062395,11.894963435000022,740.9537926
BGGN,0.7659574468085105,0.8622754491017964,0.1138353765323993,0.1377245508982036,0.11924119241192412,738,51.012784395,4.191016660999992,65.9757835
BIEL,0.803315269365636,0.8333333333333334,0.13488543976348855,0.16666666666666666,0.1462778568041726,4218,45.560747024,8.04805501200002,480.5174087
BILG,0.6277702397105382,0.8060394889663183,0.3110478899952584,0.19396051103368175,0.27710437710437713,2970,50.531510835,22.71857251,242.9100939
BINE,0.6476190476190476,0.8592057761732852,0.12087912087912088,0.1407942238267148,0.1235097758702909,2097,41.848163814,0.2959306679999827,346.8925796
BLAN,0.509090909090909,0.6666666666666666,0.14184397163120568,0.3333333333333333,0.16666666666666666,324,44.930400303,-0.562091775,55.9105109
BLVR,0.7324200913242009,0.7652671755725191,0.15419501133786848,0.23473282442748092,0.18014140793114047,6506,47.323482482,6.611281099999985,714.5188604
BNA1,0.5797101449275363,0.7692307692307693,0.17898832684824903,0.23076923076923078,0.18770226537216828,618,37.232379366,-8.12668796,332.9724042
BOR1,0.7036368326025277,0.8621997471554994,0.18846153846153846,0.13780025284450062,0.17617295308187672,6522,52.276956323,17.073455608000017,124.3653538
BOT1,0.6677977604343399,0.7987012987012987,0.13918507235338917,0.2012987012987013,0.15098704503392968,6484,41.692912061,-7.658080588,585.6419414
BOUS,0.5,1.0,0.11764705882352941,0.0,0.1111111111111111,18,46.287968472,2.2357539619999898,558.4815845
BRAE,0.5813953488372093,0.9090909090909091,0.26693227091633465,0.09090909090909091,0.23529411764705882,306,57.006738054,-3.395600229,400.8966535
BRAG,0.727427597955707,0.7439024390243902,0.15122377622377622,0.25609756097560976,0.18626309662398138,1718,41.553333492,-8.428909171,250.6459899
BRAS,0.7224435590969457,0.8127490039840638,0.1531751570132589,0.18725099601593626,0.162015503875969,3870,44.122165767,11.113084373999982,901.2007293
BRET,0.7326295114166462,0.8791985857395404,0.2009090909090909,0.12080141426045964,0.17861243234377563,6097,48.610336165,2.3149781440000083,140.277743
BRIV,0.6558704453441295,0.8906856403622251,0.2648951629645007,0.1093143596377749,0.2270941379852271,6363,45.157009573,1.488010542999973,158.1403746
BRMF,0.6776141028737019,0.8351190476190476,0.21850475010326312,0.16488095238095238,0.2046918123275069,6522,45.726075737,4.938394080000023,256.8461239
BRMZ,0.7433302667893285,0.8278688524590164,0.16469594594594594,0.1721311475409836,0.16686602870813397,1672,48.00145505,0.4775102610000203,158.1669884
